CustomerKey,RecommendedProductKey,Rank,RecommendationScore
11000,480,1,0.9414891304250529
11000,477,2,0.8469333006339826
11000,478,3,0.7972240468555372
11000,223,4,0.7959976536445109
11000,529,5,0.7320071456085033
11001,214,1,1.1663408923980185
11001,220,2,1.1371990365023648
11001,528,3,1.0761509494533683
11001,537,4,1.0315413067001094
11001,487,5,1.0251560226566778
11002,477,1,0.37544116516030496
11002,478,2,0.3297270814127695
11002,485,3,0.3024654194849325
11002,528,4,0.3012382030086444
11002,479,5,0.2835969498175154
11003,479,1,1.1616811979945207
11003,529,2,1.1082431697847066
11003,214,3,1.0871443666651797
11003,528,4,1.0371949740777804
11003,220,5,1.026088634727681
11004,477,1,0.6984792078994284
11004,528,2,0.6867780982904089
11004,478,3,0.6851694380571982
11004,537,4,0.5816844376102539
11004,223,5,0.5297125400149988
11005,536,1,0.8102869984367137
11005,535,2,0.7992849853224552
11005,529,3,0.6930695776536487
11005,220,4,0.6640824876698203
11005,484,5,0.6600457864146019
11007,480,1,1.075015804070414
11007,477,2,0.9790934196041479
11007,478,3,0.965687592904877
11007,536,4,0.896770805793698
11007,223,5,0.8065385431704791
11008,479,1,1.0262414750151714
11008,528,2,0.9193635554565204
11008,529,3,0.8425781289730258
11008,537,4,0.8320142418245099
11008,223,5,0.8249749737849573
11009,528,1,0.670177362864621
11009,529,2,0.6352604912497813
11009,537,3,0.5791343514404753
11009,530,4,0.5657074870558022
11009,477,5,0.5178961444936026
11010,477,1,0.4517067504444798
11010,478,2,0.35837033161950543
11010,479,3,0.3330863909075407
11010,485,4,0.29034343720348815
11010,214,5,0.2867668380569026
11011,477,1,0.30195359679357525
11011,223,2,0.27592626884498084
11011,478,3,0.25480472295104417
11011,479,4,0.23475024677268191
11011,485,5,0.22307332131932175
11012,540,1,1.1737042851358577
11012,535,2,1.1589106128234798
11012,539,3,1.0484921593564531
11012,536,4,1.0443148848174981
11012,530,5,0.9715596652509075
11013,540,1,0.6484658266373444
11013,539,2,0.6456113531267513
11013,480,3,0.5257221510446938
11013,538,4,0.5082203320824692
11013,528,5,0.39896149607893694
11014,480,1,1.4073163321626423
11014,540,2,1.1085171596467989
11014,535,3,1.082743231623573
11014,539,4,1.0336563445201699
11014,536,5,0.9770230881872429
11015,478,1,0.3957396216115931
11015,477,2,0.3180701513623482
11015,528,3,0.3037151995753219
11015,537,4,0.2982606700037329
11015,480,5,0.2962703273393693
11016,528,1,0.9245894146885849
11016,529,2,0.5310417432758437
11016,530,3,0.47231087928359705
11016,484,4,0.4658139510229613
11016,535,5,0.4321008190429373
11017,478,1,0.36679398553774767
11017,477,2,0.30719662108510426
11017,537,3,0.2382325808586612
11017,214,4,0.23792048967861396
11017,220,5,0.23697843855916528
11018,478,1,1.2044461849977262
11018,223,2,0.7488015468286467
11018,214,3,0.6432993486230558
11018,528,4,0.6318372783405766
11018,537,5,0.6033772408919765
11019,540,1,4.955980826954352
11019,484,2,3.8690071248890394
11019,477,3,3.525909590399115
11019,215,4,3.3727127120248435
11019,223,5,3.2427667739685373
11020,478,1,0.36072613161301936
11020,477,2,0.2767244219368907
11020,537,3,0.22343602213804536
11020,220,4,0.21102275482454538
11020,214,5,0.2099162058156994
11021,478,1,0.5253135063005252
11021,477,2,0.4819543667579959
11021,484,3,0.3092239493092466
11021,537,4,0.2756523386003518
11021,528,5,0.2750889013441625
11022,528,1,0.41888446360534926
11022,529,2,0.4149779891306664
11022,537,3,0.39891594570089317
11022,530,4,0.37060437453385475
11022,535,5,0.34659715346878844
11023,480,1,0.8133426867306204
11023,536,2,0.712701634799584
11023,220,3,0.5892708026855646
11023,215,4,0.5757231691558647
11023,214,5,0.5650325063026336
11024,535,1,1.532096225762641
11024,540,2,1.483295338274011
11024,530,3,1.3081152430837413
11024,539,4,1.285396856154889
11024,536,5,1.284970428799574
11025,478,1,0.489076166223114
11025,477,2,0.4736580160448092
11025,223,3,0.34944582258736334
11025,537,4,0.3483942232119104
11025,528,5,0.3449634395264659
11026,480,1,0.798931042873108
11026,477,2,0.6818825762147482
11026,214,3,0.6311031889811082
11026,529,4,0.6063559168193398
11026,478,5,0.574110535148336
11027,529,1,1.100754188445292
11027,477,2,1.0701984147595551
11027,528,3,0.9167860303143163
11027,484,4,0.8567424554209112
11027,478,5,0.8277949798916788
11028,528,1,0.9302386031747139
11028,529,2,0.5364978493231958
11028,530,3,0.4874451241710381
11028,484,4,0.47314456714273934
11028,477,5,0.4425114695894465
11029,478,1,1.0646962644285127
11029,223,2,0.7532035461172705
11029,214,3,0.5558955051160167
11029,528,4,0.5457433909439797
11029,537,5,0.5450882180654384
11030,477,1,0.3802076761362926
11030,478,2,0.31877913262062885
11030,485,3,0.2566935753324956
11030,479,4,0.2528553356710936
11030,214,5,0.24788762672145848
11031,478,1,0.9260100129808154
11031,223,2,0.6349893565825622
11031,484,3,0.6174672917916338
11031,537,4,0.6142894831400346
11031,528,5,0.6110683409517883
11032,220,1,1.2458560737159703
11032,214,2,1.222092544800718
11032,215,3,1.1878007566899242
11032,479,4,1.1642581963983012
11032,536,5,1.154496572282198
11033,478,1,1.1792738080875396
11033,214,2,0.6488038149361298
11033,528,3,0.6218842987050373
11033,537,4,0.6061126344201299
11033,530,5,0.5906268285482382
11034,477,1,0.26653235578214346
11034,478,2,0.23364816782220407
11034,223,3,0.22523882906823792
11034,485,4,0.2058911129249111
11034,479,5,0.20301969501839032
11035,478,1,0.867333363291827
11035,223,2,0.5026992581839296
11035,214,3,0.4387498790574139
11035,220,4,0.40641619281656627
11035,487,5,0.3958067946226721
11036,477,1,0.2891146668904102
11036,528,2,0.2841765506161041
11036,537,3,0.27633262784871815
11036,478,4,0.27255531733970234
11036,485,5,0.23806089822216522
11037,220,1,1.0686446148642643
11037,214,2,1.056089482277172
11037,536,3,1.055115106945322
11037,484,4,1.0425088159223914
11037,215,5,1.0269026198949718
11038,478,1,0.14340250066902802
11038,485,2,0.12986924832924554
11038,477,3,0.1257759615306397
11038,537,4,0.12432928243142638
11038,220,5,0.10851901272986443
11039,529,1,1.1608367517499278
11039,477,2,1.0455166232961262
11039,528,3,1.0309532336867515
11039,537,4,0.9087637537182212
11039,214,5,0.8908479671198873
11040,478,1,0.42050883968802893
11040,477,2,0.3550136272889624
11040,537,3,0.28585308645251933
11040,214,4,0.2766464753948805
11040,528,5,0.25925997902981723
11041,478,1,0.40076332679473115
11041,477,2,0.326187669918311
11041,537,3,0.2624286143126507
11041,214,4,0.2545749008889612
11041,528,5,0.25351371643157117
11042,223,1,0.22405417871999977
11042,477,2,0.20585794389419615
11042,485,3,0.20109195840060748
11042,537,4,0.19315698209555102
11042,478,5,0.18453957053251663
11043,480,1,0.8078714984492883
11043,528,2,0.7987653039794361
11043,540,3,0.6838407530358023
11043,539,4,0.6535986603511885
11043,538,5,0.578466877734093
11044,478,1,1.0174114938844243
11044,528,2,0.8177005050361369
11044,223,3,0.7479523750094678
11044,480,4,0.6437319478958408
11044,220,5,0.6374451038176076
11045,480,1,0.9218301444106922
11045,537,2,0.8110898663466964
11045,536,3,0.7217255722802294
11045,529,4,0.7031442045365952
11045,530,5,0.5629587513400829
11046,477,1,0.5534977961301129
11046,528,2,0.5193118930440024
11046,529,3,0.5072878888831848
